province_eng,net_trans,child_gender
Anhui,1649.29,1
Beijing,6644.0,1
Chongqing,1917.88,1
Fujian,2559.05,1
Gansu,1556.46,1
Guangdong,2067.3,1
Guangxi,1431.11,1
Guizhou,689.16,1
Hebei,1997.93,1
Heilongjiang,2270.59,1
Henan,1979.86,1
Hubei,1879.79,1
Hunan,2164.32,1
Jiangsu,2334.49,1
Jiangxi,1872.11,1
Jilin,2350.65,1
Liaoning,1713.91,1
Neimenggu,2074.84,1
Qinghai,1278.68,1
Shaanxi,2007.09,1
Shandong,1899.27,1
Shanghai,3357.14,1
Shanxi,1640.2,1
Sichuan,1555.64,1
Tianjin,2804.55,1
Xinjiang,2084.52,1
Yunnan,1598.16,1
Zhejiang,1914.03,1
